Age,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),BMI,Gender_cat,Workout_Type_cat,Experience_Level
0.926829268292683,0.5372636262513903,0.41999999999999993,0.5128205128205128,0.7551020408163265,0.4166666666666667,0.7933333333333333,0.6824324324324325,0.10399999999999998,0.9090909090909091,0.6666666666666666,0.4765458422174839,1,3,3
0.6829268292682927,0.38820912124582874,0.06000000000000005,0.48717948717948717,0.6326530612244898,0.6666666666666666,0.5333333333333333,0.3918918918918919,0.956,0.27272727272727276,0.6666666666666666,0.5245202558635393,0,1,2
0.34146341463414637,0.31256952169076746,0.31999999999999984,0.1794871794871795,0.04081632653061224,0.16666666666666666,0.40666666666666673,0.2527027027027027,0.9359999999999999,0.36363636363636354,0.6666666666666666,0.3302238805970149,0,0,2
0.17073170731707318,0.14682981090100114,0.3999999999999999,0.7692307692307693,0.8979591836734694,0.25,0.05999999999999998,0.15472972972972973,0.752,0.27272727272727276,0.3333333333333333,0.16231343283582086,1,2,1
0.4878048780487805,0.067853170189099,0.5800000000000001,0.717948717948718,0.7755102040816326,0.75,0.09333333333333334,0.17094594594594595,0.768,0.5909090909090908,0.3333333333333333,0.055170575692963755,1,2,1
0.926829268292683,0.20022246941045604,0.3599999999999999,0.20512820512820512,0.7346938775510204,1.0,0.7266666666666667,0.5493243243243243,0.22,0.5454545454545455,1.0,0.21934968017057568,0,1,3
0.43902439024390244,0.33704115684093433,0.43999999999999995,0.358974358974359,1.0,0.9583333333333334,0.66,0.731081081081081,0.452,0.36363636363636354,0.3333333333333333,0.3049040511727079,1,0,2
0.5365853658536586,0.3303670745272525,0.020000000000000018,0.7435897435897436,0.42857142857142855,0.5833333333333334,0.5133333333333333,0.4,0.8240000000000001,0.18181818181818177,0.3333333333333333,0.4864072494669509,0,0,2
0.24390243902439024,0.9087875417130145,0.8799999999999999,0.6410256410256411,0.14285714285714285,0.08333333333333333,0.35333333333333333,0.2810810810810811,0.7559999999999999,0.5,0.6666666666666666,0.5335820895522388,1,2,2
0.24390243902439024,0.6874304783092324,0.6800000000000002,0.23076923076923078,0.32653061224489793,0.5833333333333334,0.3866666666666667,0.34121621621621623,0.7879999999999999,0.5454545454545455,0.3333333333333333,0.47308102345415776,1,0,1
0.5609756097560976,0.8987764182424915,0.33999999999999986,0.717948717948718,0.5306122448979592,0.16666666666666666,0.2133333333333333,0.19594594594594594,0.42,0.6818181818181818,0.0,0.8259594882729211,1,1,1
0.8536585365853658,0.13014460511679646,0.3999999999999999,0.38461538461538464,0.6530612244897959,0.9166666666666666,0.4333333333333333,0.37972972972972974,0.544,0.9090909090909091,0.3333333333333333,0.148454157782516,1,1,2
0.9512195121951219,0.8064516129032258,0.2200000000000002,0.8974358974358975,0.9183673469387755,0.4583333333333333,0.49333333333333335,0.4797297297297297,0.48400000000000004,0.5454545454545455,0.3333333333333333,0.8283582089552237,1,0,2
0.5609756097560976,0.6062291434927697,1.0,0.48717948717948717,0.32653061224489793,0.7916666666666666,0.4533333333333333,0.33175675675675675,0.7040000000000001,1.0,0.3333333333333333,0.3011727078891258,1,1,1
0.04878048780487805,0.8642936596218019,0.6200000000000001,0.9230769230769231,0.8367346938775511,0.16666666666666666,0.5666666666666668,0.6027027027027027,0.6559999999999999,0.818181818181818,0.3333333333333333,0.6292643923240937,1,3,2
0.5121951219512195,0.027808676307007785,0.5,0.5384615384615384,0.22448979591836735,0.08333333333333333,0.41999999999999993,0.29527027027027025,0.648,0.27272727272727276,0.0,0.04157782515991472,0,2,1
0.024390243902439025,0.26696329254727474,0.06000000000000005,0.15384615384615385,0.9591836734693877,0.3333333333333333,0.5533333333333333,0.5459459459459459,0.792,0.36363636363636354,0.3333333333333333,0.400319829424307,0,1,2
0.5609756097560976,0.0422691879866518,0.54,0.5641025641025641,0.9183673469387755,0.3333333333333333,0.45999999999999996,0.39256756756756755,0.8759999999999999,0.04545454545454549,0.3333333333333333,0.044243070362473345,0,0,1
0.7073170731707317,0.29810901001112344,0.5,1.0,0.5306122448979592,0.25,0.41999999999999993,0.29662162162162165,0.9119999999999999,0.45454545454545453,0.3333333333333333,0.25293176972281445,0,2,2
0.9024390243902439,0.39154616240266965,0.33999999999999986,0.717948717948718,0.9591836734693877,0.041666666666666664,0.5800000000000001,0.4912162162162162,0.608,0.31818181818181823,0.0,0.39019189765458423,0,1,1
0.024390243902439025,0.5450500556173525,0.54,0.38461538461538464,0.14285714285714285,0.9166666666666666,0.6666666666666666,0.5033783783783784,0.7559999999999999,1.0,0.6666666666666666,0.4288379530916844,1,2,2
0.4878048780487805,0.3548387096774194,0.54,0.9487179487179487,0.4489795918367347,0.9166666666666666,0.4133333333333334,0.3864864864864865,0.628,0.7272727272727273,0.0,0.2833155650319829,1,0,1
